mendemobilisasikan	demobilize||1
persyaratan yakni	requirement||1
ketika mengosongkan mesin	emptied||1
penjaga middlesbrough	middlesbrough||1
menyampaikan kritik	critical||1
pendengkur	snorer||2
waktu pizzo dari	pizzo||1
kata-katanya hari	today||1
penciuman	smell||3
memiliki polhukam kementrian	polhukam||1
ruko kampong	kampong||1
hutang hutang	debt||2
pengawasan kondisi	supervision||1
katakan	saying||5 say||5 said||1 says||5 tell||6
kelanjutan khartoum	khartoum||1
pelembab	moisturizer||1
simulasi matahari terbit	simulation||1
celakalah	woe||1
asli daerah pad	pad||1
b peraturan/kebijakan	b||1
aronson walaupun mengakui	aronson||1
kemurahan hati umat-	generosity||1
berikan aku waktu sebentaruntuk mendefinisikan	moment||1
miliar miliar dolar	billion||1
mulai mengalami	experiencing||1 experienced||1
penuh kasih sayang	affectionate||1
menyatakan menentang	expressing||1
pajak yaitu pajak pajak	tax||1
mendaki barisan pegunungan	mountain||1
berkantor pusat wickliffe	wickliffe||1
diamati hampir	practically||1
gambar secara tidak sah	images||1
sampai alderson	alderson||1
tabut perjanjian	ark||1
pusat pusat	center||1 centers||1
baiknya genentech	genentech||1
nggak dapet nggak berani ngadu	dare||1
membatalkannya	cancel||1
dibawa mad	mad||1
merekakelas utama ekonomi awak kapal	crew||1
serangan balik	counter-attack||1
seminar agen-agen	seminars||1
kata jaksa maricopa	maricopa||1
suku bunga primer	prime||1
hendak memanfaatkan	utilizing||1
menunjuk nikko	nikko||1
mengalami kemajuan	progressed||1
kegiatan persiapan	preparation||1
atas anjuran	suggestion||1
termasuk pembukuan	bookkeeping||1
memberi penawaran	bid||1
seharusnya ditetapkan diberikan ditetapkan	determined||1
ada dimana-mana 	everywhere||1
biofilm	biofilms||2
asal rusia	russian||1
diaper services	diaper||1
insisi	incisions||1 incision||1
murcia laga tandang	murcia||1
perseteruan	feud||2 conflict||2
anting-anting	earrings||2
kekaguman atas itikad	admiration||1
inspektur	inspectors||1 inspector||1
peluang	chances||30 odds||1 opportunities||51 possibilities||1 chance||47 leeway||1 opportunity||28
kriptografi	cryptography||1
namun ternyata	however||1
memuji	praising||1 praises||1 praised||1 praise||1 lauded||1 compliment||1
menguntungkan dia	lucrative||1
bagi hillary	hillary||1
saham aliansi gm	share||1
nanti sepenuhnya milikmu	yours||1
pecinta pengasingan seefisien mungkin	exile||1
membatasi terus bertambah	limiting||1
pasarnya	market||14
tuduhannya mengenai penyiksaan	torture||1
tujuannya dicegah punya korelasi	earmarked||1
kebanyakan rojak enak	rojak||1
tidak dapat didengar	inaudible||1
tak lazim	unusual||1
kebangunan rohani oleh mordecai	mordecai||1
beberapa kedutaan besar	embassy||1
imh cabang panti-panti sosialnya	imh||1
bayi konsumsi kafein jumlah sedang	caffeine||1
dianggap cukup	considered||1
promoter mengatakan dirinya	promoter||1
hilir	downstream||1
merayakan karena dulu	celebrating||1
terbangun canberra agar	canberra||1
pembinaan hukum bphn	legal||1
tarif pound-dm	pound-dm||1
kelompok bermain	playgroup||1
penugasan banyak multitasking	multitasking||1
surga memang	heaven||1
mentargetkan	targeting||4
sekeliling api unggun	fires||2
tempat tujuan menanti	destination||1
ironis	ironic||1
belakangan jika menghias anda	drape||1
pengambilan indeks-saham mendapatkan	stock-index||1
mengirimi	sent||1
pakaian dalamnya hanya	underwear||1
e suata memuat informasi	e||1
kemudian dihitung dibuat persentasenya kemudian seluruh	counted||1
ungkapan	expression||1
burung unta sampai	ostrich||1
menyamar	disguise||1 undercover||1 disguised||1 dressed||1
difasilitasi	facilitated||4
acara siaran langsung	events||1
cara sepenuhnya	completely||1
melakukan langkah-langkah	steps||1
online secara	online||1
pengagum	admirer||1
tingkat bunga tinggi	rates||1
dibuat kembali	rebuilt||1
tepatnya sabun	soap||1
masuk akal	plausible||1 absurd||1 reasonable||1 sense||1
tentang 	about||1
negeri optimistis	optimistic||1
bayangan	shadows||3 shadow||1
memblokir	blocks||1 block||2
pos-pos pemeriksaan	checkpoints||1
bukalah	open||1
semacam	sort||1 such||1 kind||1 like||1
tampak beracun	toxic||1
serangan serupa	strikes||1
apalagi laboratorium	laboratory||1
tlif yaitu	tlif||2
bahkan ditemui seorang informan	informant||1
dakwaan	charges||2 indictment||1
menyerah	towel||2 up||2 capitulated||1 surrendered||3 bowing||1 surrender||1 gave||6
rajoy pemerintah mengambil	rajoy||1
hambatan-hambatan	constraints||1
kloning peliharaan	cloning||2
diperbolehkan bercermin dirinya sendiri	herself||1
pensiun taspen para negeri/pensiunan	retired||1
sama lain	another||21
penting hilir djendam gurusinga	gurusinga||1
penyimpanan tanah salah emisinya terus	underground||1
ketenagakerjaan renumerasi grigsby in	grigsby||1
soetomo gedung	soetomo||1
jiwanya	himself||1 soul||1
yesaya	isaiah||19
demikian juga tangga perkemahan pramuka	scout||1
ialah bloomberg dalam temu	bloomberg||1
menerima inspeksi	accepting||1
insentif tersebut	incentives||1
saat verifikasi	verification||1
penargetan	targeting||1
baku sesuai	standard||1
penjelasan terinci lebih lanjut diberikan mengenai hal	details||1
maclaren memberikan	maclaren||1
seorang lagi	another||5
milik badan antariksa eropa lumpuh badai	strom||1
sebagai tabungan	saving||1
keras menyambung kembali koneksi	reconnect||1
cepat kredibilitas diri	sooner||1
gugus brookings institution menganjurkan	brookings||1
polisi	policemen||1 police||1 officer||1 policeman||1
milisi islam	islamists||3
kompetisi mendapatkan	competition||1
mengingat munculnya netralisasi	neutralization||1
penginjil	evangelist||1
hal-hal	things||1 stuff||1 issues||1 matters||1
rencana sektoral	plans||1
toppmoeller asal	toppmoeller||1
fppp mencapai	achieve||1
natal hanya membuat kau semakin kaya	richer||1
bronkitis 	bronchitis||2
ancaman degradasi madrigal	madrigal||1
kesedihan kami	sadness||1
mata uang mengalami kenaikan	currencies||1
nol membuat mengalami	zero||1
perincian elektronik diduga sebagai sarana	wire||1
menerangi	illuminate||1
ekor capung	tail||1
inisial	initials||1
mengajukan penawaran 	bid||1
sebanyak dua kali	twice||1
delhi	delhi||20
ketidakpastian waktu distribusi turut terjadinya	uncertainty||1
mesti	should||1
menguat akibat aksi	strengthened||1
canepa memberikan konfirmasi	canepa||1
lain sebagai berikut	following||1
kesalahpahaman	misunderstanding||1
surat edaran	circulars||1 circular||1
arab arab	arab||1
ditetapkan petunjuk	stipulated||1
memandang rendah	spurned||1
shapovalov kementrian relasi	shapovalov||1
dijernihkan chateau	chateau||1
menunjukkan keraguan	doubt||1
spekulasi	speculation||1 speculations||1
anak-anak muda	young||1
patrick	patrick||12
loncatan lapangan usahanya	jumper||1
para pengunjung trendi	trendy||1
tim ironisnya bersorak kendati tim mereka	ironically||1
isu-isu keadilan	issues||1
haruskah	shall||1 should||1
lainnya diperuntukkan	rest||1
bekerja para pelaku	working||1
disebut sasae	sasae||1
majalah forbes	forbes||1
of independence	independence||1
nah pizza	pizza||1
tolok	benchmark||1
sisa lagi	remaining||2
penilaian dimaksud	evaluation||1
lembata pulau timor barat	lembata||1
apapun bersedia membantumu	anything||1
kekhawatiran mengenai penculikan	abductions||2
nanoteknologi segera memulainya juga bakal	nanotechnology||1
mortir	mortar||1 mortars||1
mempertahankan jawabannya tidaklah tergantung melainkan allahlah menopang tangan-nya kuat	mighty||1
berisiko	riskier||1 risk||10 triggered||1 risky||5
peruntukan	allocation||1
hasil pemetaan wilayah	mapping||1
menginstruksikan	instructed||3
dilakukan mudah-mudahan	hopefully||1
penurunan mempengaruhi	affecting||1
mencairkan lebih tebal	thicker||1
merasa gugup	nervous||2
lebih miskin	poorer||1
reksa dana papua nugini 	fund||1
sedang menyusutkan peminjaman pemberian peminjaman	shrinking||1
langsungnya terhadap spa	spa||1
bulan juli mendatang	july||1
of england	england||1
buddha	buddhist||1
paket bantuan tersedia	package||1
terakhir sepuluh	ten||1
layanan kepolisian	police||1
ia peroleh ternak kambing	goat||1
per lembar saham	per-share||1
pembangunan mendorong	boosting||1
makanan pelengkap	supplements||1
saham per saham	share||3
lapangan perch	perch||1
mempermasalahkan internet kementerian	repudiated||1
domba mengandalkan kegiatan perekonomian kegiatan	sheep||1
mobil-mobilan mainan	toy||1
berekspresi	expression||1
kolektif	collectively||1 collective||1
penyeberangan omanthai	omanthai||1
pemecatan	sacking||1 dismissal||1 firings||1
statistik perceraian	statistics||3
membuahi	fertilizing||1
kekeringan	drought||11 droughts||2 dryness||1
menristek kusmayanto	kusmayanto||1
saat jeda pertandingan	halftime||1
gotong royong warga	citizens||1
mampu menandingi tatsuya	tatsuya||1
pembatalan surat izin negara tentang suatu gereja sah	church||1
terorisme sepanjang	terrorism||1
seberang	across||3 opposite||1
the georgia-pacific	georgia-pacific||1
a current affair 	affair||1
hal tentu memerlukan	require||1
reliabilitas	reliability||1
memusuhi	beating||1
semua perbuatan mengikutsertakan kecanduan obat-obatan terlarang	addictive||1
garis pantai	shoreline||1 coastline||1
kew garden	kew||1
sukarelawan (kader)	volunteers||1
kejatuhan benda-benda sama sekali	objects||1
roket buatannya	rocket||1
lahir keluarga memang warisan iman	legacy||1
neurologi	neurology||1
luar negeri mengatakannya para	abroad||1
mintalah supaya	ask||1
melindungi dirinya menyemprotkan tinta	squirt||1
sama hampir sama	similar||1
tepat akurat	accurate||1
terpengaruh dampak krisis	affected||1
servisnya tiebreak	tie-break||1
kami harus melewati kelompok pembalap melakukan sprint	sprint||1
jaksa phissanu kemungkinan mengakui	phissanu||1
kasih berasal	comes||1
bagian wilayah dipetakan kewilayahan	mapped||1
dibayar	paying||1 pay||1 payable||1 paid||1 repaid||1
terus berlanjut malaysia 	malaysia||1
batasan-batasan	limitations||2 boundaries||1 limits||2
kelanjutan gejolak uang global masih	fluctuation||1
chiat place	chiat||1
abkhazia	abkhaz||3
pemerintah sebenarnya	government||1
siang bersantap	lunch||1
aideed juga memegang	aideed||1
diizinkan masuk	allowed||1
pemain sayap	winger||1
dapat membuat alat-alat	instruments||1
piringan hitam telepon	telephones||1
baru darfur	darfur||1
kekalahan beruntun meraih	defeats||1
terlihat adanya	observed||1
hari mencapai kesepakatan	overwhelmingly||1
sebagian ceo	ceos||1
masih sejelas lalu penghukuman dijatuhkan atas	ago||1
mengatakan...	saying||1
jelena petenis peringkat	jelena||1
minggu besok	sunday||1
geylang mayoritas dihuni etnis	geylang||1
camoranesi membagi bola kepada	camoranesi||1
asia kateterisasi tingkat lanjut	catheterisation||1
kelompok arisan	arisan||2
sementara seorang pembom	bomber||1
setahap-demi setahap	step-by-step||1
barbera tahun pensiunnya nanti	barbera||1
menyampaikan demand memperoleh	articulate||1
menyatakan menetapkan kembali	reconfirmed||1
bepergian	travels||1 travel||5 travelling||6 traveling||10 traveled||2
mengadopsi metode	adopt||1
pemrogram	programmers||1 programmer||1
cantik biasanya	beautiful||1
masih kurangnya	lack||1
titik penalti chhunly	chhunly||1
kredit kredit	credit||5 loans||1 credits||2
penebusan	redemption||11
kegemparan	uproar||1
penduduk sumatera lagi	sumatera||1
delegasi	delegation||1 delegate||1
pantas	deserved||4 deserve||2 respectable||2 appropriate||3 reasonable||2 proper||1
smp berstatus negeri lokasinya alternatif	alternatives||1
sini mungkin pengalaman dapat	perhaps||1
benar-benar kepunyaan-nya	truly||1
beni luas sebagai	beni||1
arthamulia berkedudukan	arthamulia||1
pantai	coast||1 shore||2 coastline||2 coastal||1 beach||18 beaches||4
kepastian belum memberikan	certainty||1
berkata-kata	speaking||1 speak||1
mengkaji efek-efek	effects||1
kura-kura	turtles||3
pengaduan pengaduan pengaduan	complaints||1
habel jika diceritakan bagian	abel||1
mr guber	guber||1
sarana transportasi	transportation||3 transport||1
edisi kios	newsstands||1
memberikan dukungan bantuan	assistance||1
ota	ota||1
kebanyakan pembelian	most||1
luasnya wilayah segi geografis segi	geographical||1
berson ahli	berson||1
gam kini cemas	gam||1
secara seksama	carefully||1
menagih	charge||1
davenport tampil anak	davenport||1
sekamar	roommate||1
kosmetik asal	cosmetic||1
dinilai terlalu rasis	racist||1
memang apa	indeed||1
mississipi	mississippi||2
belasan orang	dozens||1
the dunes	dunes||1
paling bawah	bottom||2
egg tarts kue telur	tarts||2
semakin tertindas	pressed||1
liedson menit	liedson||1
sebelumnya pendataan bps biro pusat statistik	bps||1
menimbulkan kecurigaan beberapa pihak	suspicion||1
turunnya cgmp mengakibatkan	cgmp||1
resmi kata aso	aso||1
naik titik berbahaya	relegation||1
pepper crab atau lada	pepper||1
agar perjanjian sebelum	treaty||1
missouri	missouri||1
pelaporan	report||1 reporting||1 filings||1
juga ada banyak	lots||1
utama anton	anton||1
bersebelahan	adjacent||2
berupa memakan	eating||1
kelulusan peserta	participants||1
rekan kerjamu	partner||1
mengeluarkan biaya	spent||1
tindak korupsi	corruption||3
angkut	transport||2
holler menaik sejalan mengambil	holler||1
rasa kepercayaan diri	confidence||1
peringatan dulu	warning||1
pengalaman mempunyai sistem jamsosnas mekanismenya seperti pekerja terutama pekerja	experiences||1
sumbercangkring mujiana	sumbercangkring||1
sekjen pbb	un||1
kemal prihatman	prihatman||1
rabu kedutaan satoru	satoru||1
penuntut umum	prosecutors||1 prosecutor||1
bej sgro	sgro||1
ii ppk-ii	ppk-ii||1
dipanggil	recalled||1 called||1 summoned||8
peristiwa menyerang	attacked||1
maju secara ilmiah 	scientifically||1
pengetahuannya tentang	knowledge||1
jacob jangan	jacob||1
kisruh	chaotic||1
ketentuan petunjuk pelaksanaan (juklak)	guidelines||1
saat ini kondisi	currently||1
sebulan	month||1
pembuat hukum	lawmakers||1
tanah airnya	homeland||1
kepentingan kepentingan	interest||1
butir-butir ada layar	items||1
perkenalkan	introduce||1
gol bunuh diri ganjil memegang kendali	bizarre||1
kaki sekarang	knee||1
menyemburkan	flushing||1
artikel koleksinya	articles||1
kelebihan tersendiri dilakukannya penyesuaian	adjusted||1
peminjam bisa	borrowers||1
menahem ke pengadilan atas tuduhan-tuduhan mencakup katsav	menahem||1
signifikan penurunannya	significantly||1
biaya-biaya lainnya	other||1
turunnya ebitda kian ketat	ebitda||1
set penentu ketiga membuat	decider||1
izin pengeluaran surat izin	permit||1
becker	becker||4
perusahaannya	company||1 companies||1
pencandu alkohol	alcoholism||1
melakukan selama puluhan tahun	decades-old||1
bumi 	earth||1
haas	haas||8
tingkat suku bunga eurodollar	eurodollar||1
ketidaksiapan	unreadiness||1
angkasa luas	space||1
awal pelecehan	abuse||1
kesiapan menghadapi	preparedness||1
mengalami luka-luka	injured||1
sue	sue||4
sun	sun||8 bonds||9
fitokimia	phytochemical||1
rekan sesama	fellow||1
ratusan gerilyawan	hundreds||1
nashua secara	nashua||1
permasalahan	issue||1 problem||1 problems||1 issues||1
miliki penglihatan terbuka	sightings||1
menyeret	dragging||1
sedang ekstradisi mengembalikannya	extradition||1
sup	soup||1
wc/kamar mandi	toilet||1
sama-sama	both||3 equally||3
adalah pekerjaan serabutan menentu kuli cangkul	coolie||1
jadi melibatkan	involve||1
pembicaraan	talks||4 discussions||1 discussion||2 talk||9 conversation||4
pertiga	thirds||2
penculikan oleh lampau	abductions||1
lagunya berikut bawalah hatimu ceritakan derita	here||1
kegiatan makan	feeding||1
tragedi	tragedy||1
kantor paten as sendiri membenarkan hal segera waktu	patent||1
pungutan terbanyak dikenakan terhadap terutama	mainly||1
fisik kurang bagus	physically||1
maupun miskin keadaan	poorer||1
menggoncang	shook||1
menyayat hati	heartbreaking||1
menyamai aspek	equals||1
menyela	interrupted||1
lirik lagunya menyatakan:sembilan puluh	ninety||1
keliru	amiss||1 mistakenly||1 wrong||1
dana-dana	funds||8
merawat	treating||3 treated||2 treat||1 care||9
aduan	complaints||2
berguna saja evolusi makro	macroevolution||1
membenci fakta	resent||1
bagian yenagoa	yenagoa||2
sebaliknya ada juga sebagai akibat kondisi antardaerah	conversely||1
parsial	partial||16
buldoser	bulldozers||1 bulldozer||1
membedakan urutan bunyi mengubah	altering||1
profitabilitas profitabilitas	profitability||1
konflik keamanan kuesioner	conflict||1
membangun kembali	rebuilding||1 rebuild||1 reestablish||1 rebuilt||1
banyak pusat	centres||1
selain alokasi	aside||1
tim sisilia	sicilians||2
hal masalah karena maju	advanced||1
halangan	barriers||1
lompatan sebesar	jump||1
kepemilikan	holdings||1 possession||3 property||3 stake||16 ownership||1
mampu menandingi burgundy bagaimanapun	burgundy||1
referensi penelitian	references||1
miskin keluarga termiskin	poorest||1
bahan jas	fabrics||1
namun pelaksanaannya	nevertheless||1
anak-anak dasar	primary||1
aton dewa	aton||1
pesisir	coasts||1 seaside||1 coastal||1 coast||1
sampai jpk-gakin	jpk-gakin||1
membukukan bila dibandingkan	clocking||1
menginformasikan kepada	informed||1
relawan	volunteers||1
betul-betul diperhitungkan	calculated||1
mustahil kita	impossible||1
israel	israel||1 israelis||1 israeli||1 israelites||1
neuron	neurons||1
jumlah total sebesar	totaling||1
masalah-masalah eksklusif	exclusively||1
ketahui	known||1 know||1 noticed||1
menikmati segelas jus	juice||1
para karakter	characters||2
bantuan pemerintah australia	australian||1
tetapi setiap perguliran diawal-awal sesuatu baik semakin cepat burhanudin	faster||1
menurut departemen bea cukai setempat nilai	customs||1
diplomatik minggu	diplomatic||1
ketidaktepatan	inaccuracy||1
diri ktp dimiliki oleh	ktp||1
ornette hasil karya	ornette||1
melakukan konfrontasi	confrontation||1
yassin dijadwalkan jejaknya	yassin||1
diungkapkan publik	disclosed||1
mengawinkan	mate||1
telah memungkinkan terciptanya pendamaian	reconciliation||1
kan ada mewakili	representing||1
lebih bijak	wiser||1
mendapat bye pertandingan putaran pertama	bye||1
kasus kronis	chronic||1
mengenai ham komunis	communist||1
kelas bawah kelas	classes||1
retinoblasma diakibatkan	retinoblastoma||1
umumnya cenderung	inclined||1
semenjak	since||24
boleh jadi menimbulkan benturan	collision||1
sore penutupan hari	evening||1
keluarga-keluarga umumnya	families||1
hampir tidak mengenal	scarcely||1
melepaskan karir	career||1
palsu palsu	counterfeit||1
selaras	aligned||3 harmony||1
industri terdapat	industries||1
ilusi terkenal siegfried	siegfried||1
kecil	puny||1 little||53 smaller||17 least||1 diminutive||1 young||7 tiny||26 petty||2 low||19 small||1 children||3 minor||19 small-scale||11
kami kata zhu	zhu||1
tsvangirai	tsvangirai||1
akhirnya perlu melakukan penyesuaian terhadap anggarannya	adjustments||1
menginterpretasikan	interpreting||1
tuntutan hukum	lawsuits||1 lawsuit||8
dinobatkan sebagai	crowned||1
zosen mulai bisnis	zosen||1
langkah 	step||1
memecahkannya	solve||1
sebut sears	sears||1
karena kita mengalami selamanya	forever||1
dukungan 	support||1
kerusuhan pecah memang tengah mengembangkan	riots||1
salah persyaratan	requirement||1
asean pun	asean||1
pengimplementasian algoritma tertentu	algorithms||1
sertifikasi guru	certification||14
maha bintang petenis berurutan	superstar||1
mdgs tersedia	mdgs||1
ke arah timur	eastward||1
sasaran mencapai target	target||1
perlombaan lari	race||1
pernah mendengar	heard||1
pegunungan yaman	mountains||1
berpotensi sebagaimana diberitakan	potentially||1
dianggap perlu	necessary||4
s benson	benson||1
susah	difficult||1
perdagangannya berkembang	burgeoning||1
byrd hari	byrd||1
susan	susan||7
sikap bersahabat	friendly||1
pers	press||2
penghutang	debtor||2
mendapatkan	gained||1 received||1 earn||1 acquire||1 gaining||1 receives||1 get||1 receive||1 gotten||1 obtained||1 getting||1 obtaining||1 obtain||1 acquired||1 earned||1 gain||1 have||1 got||1 gets||1 seek||1 find||1
cab pickups	pickups||1
teknik pembuatan	engineering||1
warung/kios	kiosk||1
alasanku	reason||1
kurun waktu mendatang	period||2
alasan inilah	reason||1
nanti	later||1
warna berakar hainan	hainan||1
the des	des||1
sakit sangat	pains||1
bank-bank syariah	sharia||1
mendapat bye putaran pertama mulai	bye||1
memakai getek	getek||1
hari sabtu	saturday||12 saturdays||2
spasial	spatial||1
hibah	grantw||1 grants||31 grant||2
akan menjamu	host||6
kg harga	kilogram||1
pemain tak loic	loic||1
asosiasi industri asuransi	insurance-industry||1
diberikan baik sekali (one-off) ataupun	one-off||1
secara finansial berkesinambungan	financially||1
pinjaman pokok	loan||1
bisnis konsultansi 	business||1
bunga pinjaman ditentukan juklak	juklak||1
vote dimana persetujuan	concurrence||1
ototitarianisme	authoritarianism||1
relevansi	relevancy||1
takut khawatir	afraid||1
mungkin beban	load||1
sisa aktivitas vulkanik .	residue||1
blok bloknya terdapat	blocks||1
kegemaran	penchant||3
peraturan dikeluarkan memperpanjang jaminannya	extends||1
mengembang	expands||1
memanjang sehingga	elongated||1
indikator mengenai	indicator||1
melaksanakan upaya	order||1
selesai awal mei	completed||1
tuduhan-tuduhan saling	accusations||1
mengindera	perceive||2 perceives||1
level	levels||19 level||73
adalah matriks	matrix||1
terletak tengah daratan	inland||1
turnamen ryder	ryder||1
membakar	burned||1 burn||1 burns||1 torched||1 burning||1
multilateral dewo joko p	joko||1
beban presiden	load||1
ekspotir	exporters||1
betul-betul membenarkan	justifies||1
terpaksa makan	eating||1
lembaga	insitutes||1 institutional||2 agency||2 agencies||50 institutions||14 institute||50 organization||11 institution||6
antusiasme	enthusiasm||2
walaupun tidak terelakkan	inevitable||1
terbatas rendahnya	limited||1
mengeluarkan perkataan	speech||1
pertandingan derbi	derby||2
fairless terlepas	fairless||1
paritas berdasarkan	parity||1
orang marokko	moroccans||1
aerodinamis	aerodynamic||1
modal usahanya berkembang berkelanjutan	sustain||1
mereka pensiun	retirement||2
karakternya	characters||2
putih kertas	white||1
pertandingan	clash||8 contest||5 matches||3 stoppage||2 fights||2 game||2 games||85 halftime||1 tie||14 the||12 bout||2 match||1
penghukuman diberitakannya	judgment||1
erakat mengemukakan	erakat||1
upaya menyelesaikan manufaktur membanjiri pasar	manufactured||1
nicastro berumur	nicastro||1
grobstein berumur	grobstein||1
pembuangan kotoran	sewerage||1
hill	hill||35
pencuci	dessert||1
menggambar sehelai kosong	blank||1
pengangguran bentuk	unemployment||1
mendekatkan	closer||1
memutuskan hubungan rakyat spanyol memerangi	spaniards||1
milwaukee intrepid	intrepid||1
kisaran	range||1 around||1
berada kecamatan	subdistrict||1
memahami	understands||1 understate||1 perceive||1 comprehend||1 understood||1 understand||1 grasp||1 understanding||1
kepahitan	bitterness||1
memahami tindakan	understand||1
terjadi calgary	calgary||1
tujuan pengaduan	complaint||1
waktu realisasi	realization||1
pergi ke	go||51 went||1
keluarga perkotaan	urban||1
membalas	retaliating||1 counter||3 back||2 avenge||1 retaliate||2 reply||1 responded||5
kerja bertahap incremental engagement	incremental||1
tingkat tingkat	rate||1 levels||1 rates||1 level||1
diperkarakan	disputed||1
samping itu	addition||1
terdiri sekretaris	secretaries||1
kata komandan	commander||1
sekuler	secular||1
kemunculan	emergence||1 emerging||1
pesta pernikahan	wedding||1
setelah bayer	bayer||1
sumber kayu hasil	timber||1
peabody and	peabody||1
bawah batas	limit||1
federasi kimba balas dendam	kimba||1
penyerapan belanja belanja pegawai	spending||1
salafiyah selain	salafiyah||1
melacak	tracing||1 tracks||1 tracking||1 trace||1
salah menggambarkan kehidupan	misrepresents||1
ditambahkannya bagi	adding||1
tangki	tank||4
semuanya	everybody||1 all||1 everyone||1 things||1 it||1 everything||1 them||1
didesain	designed||30
bukannya tidak menyenangkan	unpleasant||1
jatah jatah empat bulan	four-month||1
besar 	huge||1 great||1
dita tidak terlatih	untrained||1
store	stores||5
gps	gps||1
inspeksi serius	inspection||1
rasional	rationally||1 rational||9
ramalan permainan musim dingin	winter||1
berhasil keheningan mutlak para	silence||1
meregulasikan	regulates||1
idealisme disalah artikan tercermin karakter	idealism||1
dia mengatakan diikuti sejumlah cetak	pers||1
penindasan banyaknya hilang	oppression||1
rekening tiga bulan	three-month||1
per bulan	monthly||20
ceritakanlah	tell||1
tes dilihat	tests||1
menguntungkan pihak-pihak elit	elites||1
king	king||1
terus terbangun secara progresif tahun-tahun	progressively||1
pemeriksaan hbv	hbv||1
mendapat keberuntungan	luck||1
lido berbagai spesial minuman	lido||1
yassin mendatang kata	yassin||1
kini	now||1 today||1
percakapan	conversation||9 conversations||4
zorc persetujuan	zorc||1
ngomong-ngomong	anyway||1
panggung	platform||5 stage||6
pemimpin adat sulinggih	sulinggih||1
setahun setahun	year||1
rayakan caramu merayakan	keep||1
harafiah	literally||1
penggunaan bahasa ketika	languages||1
belah pihak	sides||1 parties||1
kadang-kadang beberapa	several||1
komputer paling sederhana	simplest||1
ekspektasi tetap rendah	expectations||1
meyakinkan sebut sebagai  tradisi 	tradition||1
berkali-kali melatih mengucapkan perhatikan depan	ahead||1
perebutan	capture||1 race||2 scramble||1
continent diambil alih carrefour	continent||1
secara ofensif penglihatan	offensively||1
atm	atms||5
jorge siap berlomba sirkuit	jorge||1
pengelolaan manusia memberikan	management||1
meningkat lebih besar	bigger||1
sue pun	sue||1
kemiskinan kemiskinan	poverty||1
margin umum	margins||1
selain faktor	aside||1
gereja gereja	church||1
nya karyawan california employees	employees||1
penggila	lovers||1
amal	charitable||2 charity||2
aman	secure||13 secured||1 safe||1 safety||6 safer||1 safely||4 security||12
gila	crazy||1 nuts||1
amat	very||33 incredibly||1
mengendurkan	relaxing||1
surat baptis pernah dibaptis	baptized||1
aksi beli	demand||1
maju ke perempat final kompetisi	quarter-finals||1
berhutang budi	indebted||1
buku russell	russell||1
pelaku khawatir pertumbuhan	worries||1
pemerintah pemerintahan	administration||1
selesai dibentuk-nya	completion||1
karena anak laki-laki memikul	sons||2
pesta berbagai	feast||1
harga bbm bbm	fuel||1
kompensasi sama sekali	compensation||1
diri kita sendiri	ourselves||16
polietilena dipanaskan terbentuk suatu	polyethylene||1
sauerbrey luar negeri as	sauerbrey||1
saja bertanya mengapa tuhan	lord||1
memiliki sebuah ancaman biasa kepada	threat||1
keputusan kontroversial	controversial||1
quo selalu mapan	quo||1
little thailand	thailand||1
hukuman putra	sentence||1
kebutuhan jasa sama	needs||1
raja berkebangsaan	king||1
jumlah pelanggan sebesar pelanggan pertama pelanggan	subscribers||1
disita	seized||1 confiscated||1
menjalani fisioterapi menggunakan	physiotherapy||1
bergerak dunia	moves||1
dimana persetujuan	concurrence||1
alasan antara lain	reasons||1
luas tbk	luas||1
berburu	hunt||4 hunting||7
memerlukan pengkajian	requires||1
dari jendela kereta gedung-gedung seolah	buildings||1
dibuat kidder	kidder||1
telpon	telephone||1
rayap	termites||1 termite||1
keuntungan bagi meminjam	advantages||1
peluang ciptakan	chances||1
pelaksanaannya	doing||1 reality||3
nasabahnya yaitu tlm	tlm||1
olahraga acara	sports||1
pendukung mdc	mdc||1
bawa aku pulang	back||1
merayu	wooing||1
purba	ancient||9
pembinaan diperhitungkan	calculated||1
kecewa ketika	disappointed||1
sepanjang tiga tahun	three-year||1
rumah sakit umum lindimara	lindimara||1
akhir pekan lalu	weekend||1
mencederai parah	injuring||1
ruu rep.	rep.||1
dakwaan bersekongkol paramiliter	paramilitaries||1
ing memperoleh pendanaan	ing||1
tidak bertanggung jawab	irresponsible||7
menyebabkan tak dapat menganalisa	analyzing||1
tetapi tetap harga menguntungkan	still||1
sedang mengingat	recalling||1
penahan bagian ujung	tip||1
atas berkat terima dari-nya diri	blessings||1
teori terdapat	theories||1
isyarat jasa baik menginjak usia	goodwill||1
gabelloi	gabelli||1
sedang mengalami gejolak	experiencing||1
memasukkan faktor	factors||1
ketahanan diambil cara pengelolaan	resilience||1
ind mengembalikan	ind||1
meledakkan	blasted||1 planted||1 detonated||1 triggered||1 detonating||1
dengan kata lain dinyatakan [atau] jerami	straw||1
aparat kemanan	apparatus||1
mundur	quit||4 backward||2 retired||4 retreated||4 retiring||1 withdrawing||2 withdrew||5 retire||3 back||5 resign||3 retreating||2 withdraw||3 resigned||11 retreat||3
didorong kemungkinan	probably||1
salah satunya	one||1
agip miliknya	agip||1
para elit	elites||1
menuduh banyak	accusing||1
seorang asal skotlandia	scottish||1
